rank,bin_index,mz,score,source_component,pcc_class_1,pcc_class_2
1,78088,400.3420104980469,1.0,0,-0.6936634983069283,0.6936634983069283
2,78861,424.3421325683594,0.608766637406287,1,-0.7503520666344657,0.7503520666344657
3,79013,428.3732604980469,0.451685545514353,0,-0.7399279816904728,0.7399279816904728
4,78932,426.3575744628906,0.4784654657135455,1,-0.6929152678314677,0.6929152678314677
5,82486,706.5377807617188,0.37982709081203847,0,-0.8788562573279001,0.8788562573279001
6,82576,713.4511108398438,0.36669599869623754,1,0.7292708277860074,-0.7292708277860074
7,82063,651.5342407226562,0.3489477359377396,0,0.7163449612941023,-0.7163449612941023
8,78145,401.3455810546875,0.29888481825771684,1,-0.6878521165468416,0.6878521165468416
9,82380,694.5144653320312,0.28964451582555983,0,0.6565293331153214,-0.6565293331153214
10,82758,734.5697631835938,0.25492014454836176,1,0.7142665182830019,-0.7142665182830019
11,78453,409.0555419921875,0.2657934265504838,0,-0.03359931565494848,0.03359931565494848
12,77996,398.326416015625,0.21630035957012755,1,-0.6560930909859943,0.6560930909859943
13,80180,496.33990478515625,0.18862282479904588,0,0.6782606916166104,-0.6782606916166104
14,82775,735.5729370117188,0.18206252601278505,1,0.6893670068589174,-0.6893670068589174
15,82539,710.488525390625,0.18142186830981316,0,0.6786840927622485,-0.6786840927622485
16,82589,714.4548950195312,0.1806382381018731,1,0.7299016981239156,-0.7299016981239156
17,82325,685.42041015625,0.17737284891598762,0,-0.9071047035959344,0.9071047035959344
18,79062,429.3766174316406,0.17080644642114726,1,-0.7412200621215088,0.7412200621215088
19,78898,425.3453369140625,0.1576324527350967,0,-0.7536468698743383,0.7536468698743383
20,78087,400.3382568359375,0.1690536011373707,1,-0.5342327144880633,0.5342327144880633
21,82079,652.5381469726562,0.1568998864760071,0,0.7205053282947359,-0.7205053282947359
22,80295,503.94818115234375,0.16752379895496414,1,-0.6963589360822644,0.6963589360822644
23,61508,141.1545867919922,0.15334252434135387,0,0.04504813579225025,-0.04504813579225025
24,77129,372.31072998046875,0.1650344077818773,1,-0.6455686475345124,0.6455686475345124
25,82550,711.435302734375,0.14936513113230424,0,-0.884152277843485,0.884152277843485
26,78089,400.3472900390625,0.16245067278150477,1,-0.6695928156016738,0.6695928156016738
27,80536,522.3552856445312,0.14699351863417584,0,0.6579333848034254,-0.6579333848034254
28,78967,427.36090087890625,0.14501587441111782,1,-0.6921993986217354,0.6921993986217354
29,82739,732.5538940429688,0.14243796420583885,0,-0.8336660118022372,0.8336660118022372
30,80960,551.50341796875,0.12872563858362593,1,0.7803062090952111,-0.7803062090952111
31,82497,707.541015625,0.14012533065119728,0,-0.879376906203665,0.879376906203665
32,78836,423.98193359375,0.11512100123420747,1,0.14974710053351342,-0.14974710053351342
33,81245,575.5029907226562,0.13654010382467976,0,-0.8614270424850917,0.8614270424850917
34,76863,366.9617614746094,0.11509626868896913,1,-0.21970105182747954,0.21970105182747954
35,79889,478.3293762207031,0.1268506639111004,0,0.7096832798277096,-0.7096832798277096
36,71975,200.17294311523438,0.09796209454663979,1,-0.6894138670584179,0.6894138670584179
37,79926,480.9211120605469,0.11922685704301203,0,-0.8432982279882248,0.8432982279882248
38,80313,504.3448791503906,0.10914450346138123,1,0.6955323627088964,-0.6955323627088964
39,82392,695.5178833007812,0.11856716244456388,0,0.6810521582261231,-0.6810521582261231
40,82651,723.4937744140625,0.09692811096027104,1,0.7527922368432037,-0.7527922368432037
41,80053,487.9745178222656,0.11362228358316975,0,-0.6212484921948426,0.6212484921948426
42,82420,697.4774780273438,0.09127229277390998,1,0.7340450993583844,-0.7340450993583844
43,80794,542.0684204101562,0.11278847145872035,0,0.10653621109601584,-0.10653621109601584
44,77546,385.2737731933594,0.09785668775702659,1,0.565823247908672,-0.565823247908672
45,80589,525.9302368164062,0.09317483641467082,0,-0.627110877291982,0.627110877291982
46,80789,541.904296875,0.08276813089712229,1,-0.7068474249811081,0.7068474249811081
47,80608,527.0701293945312,0.08988234170658455,0,-0.6923055321014528,0.6923055321014528
48,78931,426.3537292480469,0.07126108209359223,1,-0.6391214614839963,0.6391214614839963
49,81268,577.518798828125,0.08721240943239181,0,0.7946881070376218,-0.7946881070376218
50,72879,213.1809844970703,0.06786986044204121,1,-0.691657068818811,0.691657068818811
51,79668,465.0216979980469,0.08508493284892324,0,-0.47601765747239566,0.47601765747239566
52,78045,399.3296203613281,0.06641746352920308,1,-0.6617043727891653,0.6617043727891653
53,79665,464.9471130371094,0.0842454764543014,0,-0.8009903874575091,0.8009903874575091
54,81869,627.5347290039062,0.07616086616098233,1,0.6919525665889767,-0.6919525665889767
55,81763,617.9797973632812,0.07926702069582336,0,-0.17033846511795073,0.17033846511795073
56,79689,465.99267578125,0.062042947347309314,1,-0.6855728975314602,0.6855728975314602
57,81301,580.0238037109375,0.07701367745363501,0,-0.18530081818101315,0.18530081818101315
58,78162,402.0212097167969,0.07211835154792723,1,0.44580499302130056,-0.44580499302130056
59,81172,567.927978515625,0.07322611741150803,0,-0.799494730870465,0.799494730870465
60,82455,703.5741577148438,0.06743620582036687,1,-0.7522492922939533,0.7522492922939533
61,78026,399.1444091796875,0.07232938611083359,0,-0.4680172571835652,0.4680172571835652
62,52789,133.4491424560547,0.05975512360420094,1,-0.6833102912011755,0.6833102912011755
63,81561,603.5350952148438,0.07060840454360465,0,-0.5038609655099282,0.5038609655099282
64,77564,386.02606201171875,0.05683237828380109,1,0.1718360921415137,-0.1718360921415137
65,81836,623.5029907226562,0.0703152931211598,0,0.7030431926184005,-0.7030431926184005
66,82300,682.45703125,0.059862455759565,1,-0.8227189820385377,0.8227189820385377
67,81206,570.5221557617188,0.06972108790822283,0,0.6690893841522114,-0.6690893841522114
68,72950,214.1886444091797,0.05409592544400968,1,-0.738369699636066,0.738369699636066
69,79014,428.3793029785156,0.06491970485029969,0,-0.7154290066645935,0.7154290066645935
70,82601,715.4579467773438,0.05305636366982125,1,0.7467281627522335,-0.7467281627522335
71,78270,405.0953063964844,0.06292825687636283,0,-0.8396214830447377,0.8396214830447377
72,80509,520.3392944335938,0.054017947035482114,1,-0.7617276411593943,0.7617276411593943
73,81595,605.8963012695312,0.0628950762670543,0,-0.7368248591697762,0.7368248591697762
74,80272,502.3290100097656,0.05145154435752444,1,-0.8516059730963301,0.8516059730963301
75,82700,728.5203857421875,0.06271620328774831,0,-0.9116478984751132,0.9116478984751132
76,77171,373.3142395019531,0.05118958759282723,1,-0.6471983209362566,0.6471983209362566
77,82176,664.11572265625,0.06246855739564928,0,0.1842402824873741,-0.1842402824873741
78,82749,733.556640625,0.04998731539443496,1,-0.8024422274103984,0.8024422274103984
79,82057,651.1150512695312,0.06105110395810418,0,0.5790010232988544,-0.5790010232988544
80,78111,400.95465087890625,0.049496720138110586,1,-0.8343885614627641,0.8343885614627641
81,81594,605.88427734375,0.06050394376536068,0,-0.7917487299124646,0.7917487299124646
82,80489,518.8773193359375,0.049491331875979594,1,-0.8289229249024498,0.8289229249024498
83,82566,712.4393920898438,0.056706459545087,0,-0.8843785406299302,0.8843785406299302
84,79394,448.34222412109375,0.04854811518309286,1,-0.05984993709397527,0.05984993709397527
85,81424,589.9102172851562,0.0565815156707585,0,-0.7563284723520769,0.7563284723520769
86,82660,724.4965209960938,0.04697949430020346,1,0.7715657887524193,-0.7715657887524193
87,77038,369.3515625,0.052960594638185636,0,0.5487139089111288,-0.5487139089111288
88,82600,715.4495239257812,0.04690788528128248,1,0.7460814483118468,-0.7460814483118468
89,81284,578.5226440429688,0.05278529957136609,0,0.794766839269638,-0.794766839269638
90,78933,426.363525390625,0.04557131370620375,1,-0.6724906155937392,0.6724906155937392
91,80550,523.4720458984375,0.05253365683398948,0,-0.9085860761434045,0.9085860761434045
92,80978,552.5068969726562,0.045033294113913096,1,0.7799372324102831,-0.7799372324102831
93,80556,524.0579833984375,0.05181938774761532,0,0.05942552000724964,-0.05942552000724964
94,79210,438.29779052734375,0.044811161952420325,1,-0.6945686662406544,0.6945686662406544
95,78503,410.0587158203125,0.05126130133477875,0,-0.028441108023275145,0.028441108023275145
96,78188,402.3488464355469,0.048974658596949244,1,-0.6874275996065833,0.6874275996065833
97,81717,616.1770629882812,0.050858740890023395,0,0.1388435912052595,-0.1388435912052595
98,62450,142.12123107910156,0.04346776831632087,1,-0.6876923427349322,0.6876923427349322
99,79163,435.99365234375,0.050088272535844115,0,-0.8384886553318478,0.8384886553318478
100,80375,508.0030212402344,0.04090854779835891,1,-0.754951244326158,0.754951244326158
101,80599,526.3291625976562,0.049996011080477944,0,0.7007151678564072,-0.7007151678564072
102,80276,502.9778137207031,0.04087360850592467,1,-0.3740997502331251,0.3740997502331251
103,81173,567.9408569335938,0.049890281502002226,0,-0.7251945197370105,0.7251945197370105
104,80929,549.4876098632812,0.0451461139069654,1,-0.8327516292886146,0.8327516292886146
105,81875,628.5382690429688,0.04896617803855577,0,0.6914485027539535,-0.6914485027539535
106,81850,625.518798828125,0.03938796052899622,1,0.7408719530627284,-0.7408719530627284
107,82118,657.2351684570312,0.04864500944161286,0,0.35624415325143355,-0.35624415325143355
108,81347,583.9143676757812,0.04559593449956372,1,-0.772228787752564,0.772228787752564
109,80470,516.2847900390625,0.048170188751640974,0,0.631058420515619,-0.631058420515619
110,76944,368.0144348144531,0.03856425633428902,1,0.703566424366686,-0.703566424366686
111,81063,560.3109130859375,0.0476450791429713,0,0.6662694421502772,-0.6662694421502772
112,81132,565.0266723632812,0.03799504552814198,1,-0.6856268084367416,0.6856268084367416
113,82573,713.074951171875,0.04721044486405156,0,0.3844097308692249,-0.3844097308692249
114,79454,450.35784912109375,0.03782812898492232,1,-0.7374934777907013,0.7374934777907013
115,80275,502.9029846191406,0.04709905120101464,0,-0.7948160379580749,0.7948160379580749
116,82468,704.5783081054688,0.036939871158914735,1,-0.7449077250120522,0.7449077250120522
117,77679,389.1213073730469,0.046397418033421685,0,-0.8563552528372397,0.8563552528372397
118,72814,212.1715545654297,0.03659054506027763,1,-0.7489468333741287,0.7489468333741287
119,82501,708.5447998046875,0.04618032309817873,0,-0.8810784172883355,0.8810784172883355
120,78373,408.0080261230469,0.036461036843445184,1,0.234609729222467,-0.234609729222467
121,81528,601.0377807617188,0.04571276013575053,0,-0.552432668644713,0.552432668644713
122,82337,686.4231567382812,0.04331652967488913,1,-0.9017398949262955,0.9017398949262955
123,82705,729.5233154296875,0.04253467653904811,0,-0.9222915884675913,0.9222915884675913
124,78981,428.0367126464844,0.036397513734863066,1,-0.438490704702577,0.438490704702577
125,78635,414.3575439453125,0.04174785282225284,0,-0.7612323117085824,0.7612323117085824
126,79491,452.3734436035156,0.03626685541247133,1,-0.7907850388069626,0.7907850388069626
127,79451,450.2978820800781,0.041403764638757196,0,-0.9026521113189085,0.9026521113189085
128,77036,369.3000183105469,0.036027946481810916,1,-0.7267554748761482,0.7267554748761482
129,77972,398.0376281738281,0.0413743770695846,0,-0.8234037355817551,0.8234037355817551
130,76892,367.28948974609375,0.035844158206579275,1,0.7018033287518384,-0.7018033287518384
131,80571,524.4754028320312,0.041301089306779004,0,-0.9093888180306506,0.9093888180306506
132,80341,505.3481140136719,0.034333172735922596,1,0.682684284354098,-0.682684284354098
133,80665,529.9720458984375,0.0392954429079751,0,-0.7727467647814971,0.7727467647814971
134,78860,424.3379211425781,0.03432603645402718,1,-0.6985886320862815,0.6985886320862815
135,82004,643.8521728515625,0.03858583020296184,0,-0.7498680990558446,0.7498680990558446
136,78144,401.3414001464844,0.03344745076957326,1,-0.580841180469371,0.580841180469371
137,82085,653.5411376953125,0.03823179802693072,0,0.7432474081765309,-0.7432474081765309
138,82728,731.6066284179688,0.0331348999116944,1,0.6380322803260405,-0.6380322803260405
139,82581,713.8204345703125,0.03760945355131365,0,0.36614088787913757,-0.36614088787913757
140,77601,387.0100402832031,0.032901435517443116,1,0.38784784638883024,-0.38784784638883024
141,82762,735.02978515625,0.03709564946675064,0,0.4144194300995042,-0.4144194300995042
142,80874,545.9591064453125,0.03174731689869302,1,-0.7700533614014624,0.7700533614014624
143,81898,630.6185913085938,0.0370876218086719,0,0.07969195343445369,-0.07969195343445369
144,78146,401.3504943847656,0.03151123575050866,1,-0.65634875321698,0.65634875321698
