rank,bin_index,mz,score,source_component,pcc_class_1,pcc_class_2
1,78932,426.3575744628906,1.0,0,-0.8184514197142945,0.8184514197142945
2,82576,713.4511108398438,1.0,1,0.650402336802232,-0.650402336802232
3,82300,682.45703125,0.6874636642791154,0,-0.8985567437108679,0.8985567437108679
4,76863,366.9617614746094,0.8311695325485876,1,-0.6126576930098794,0.6126576930098795
5,79013,428.3732604980469,0.5107873477844949,0,-0.7646998106331956,0.7646998106331956
6,82539,710.488525390625,0.5572301790354729,1,0.6292226963022126,-0.6292226963022126
7,82758,734.5697631835938,0.5015214346214241,0,0.738301718938483,-0.7383017189384831
8,82589,714.4548950195312,0.4117279727370233,1,0.6540609243865542,-0.6540609243865542
9,78088,400.3420104980469,0.28137921330212856,0,-0.6838683212897473,0.6838683212897473
10,78803,422.9280090332031,0.30834441649821964,1,-0.7649501581819186,0.7649501581819186
11,81816,621.8703002929688,0.27109935319534606,0,-0.8640928727731421,0.8640928727731421
12,82063,651.5342407226562,0.307009218717537,1,0.6738182935887143,-0.6738182935887143
13,78967,427.36090087890625,0.23978554925281548,0,-0.8167412980751467,0.8167412980751467
14,77481,384.0028076171875,0.28267273235315626,1,-0.8609912027185842,0.8609912027185843
15,82315,683.4598999023438,0.24246025910298677,0,-0.8969001871182013,0.8969001871182014
16,81347,583.9143676757812,0.27080388246606935,1,-0.8822403054086088,0.8822403054086088
17,81595,605.8963012695312,0.22988711289614455,0,-0.8577342694997095,0.8577342694997095
18,79889,478.3293762207031,0.26248783446365237,1,0.7075202580996126,-0.7075202580996126
19,82004,643.8521728515625,0.25276416726767814,0,-0.8592970549207455,0.8592970549207455
20,76864,366.9655456542969,0.25741087817887826,1,-0.684805110897519,0.6848051108975192
21,82139,659.8267211914062,0.18365698051223403,0,-0.8733136257379954,0.8733136257379954
22,78453,409.0555419921875,0.2571328677896776,1,0.3624295589129346,-0.3624295589129346
23,81871,627.8787841796875,0.1816040099967397,0,-0.8298127909324843,0.8298127909324843
24,76940,367.9648742675781,0.24314896912869322,1,-0.6934051860050106,0.6934051860050106
25,80510,520.5084228515625,0.1741952234660073,0,-0.8951435333841011,0.8951435333841011
26,82728,731.6066284179688,0.24172613078502725,1,0.6977418699140395,-0.6977418699140395
27,82441,701.5593872070312,0.17271719826848242,0,-0.8174755876052635,0.8174755876052635
28,80180,496.33990478515625,0.23180328839741568,1,0.7049798534933763,-0.7049798534933763
29,82275,680.4417114257812,0.1718440656647702,0,-0.9062301297797704,0.9062301297797704
30,76862,366.9585876464844,0.20821099673170926,1,-0.6365636376817277,0.6365636376817277
31,78087,400.3382568359375,0.1610604471636822,0,-0.6987309671313626,0.6987309671313626
32,81268,577.518798828125,0.2047664247459554,1,0.6709899865682345,-0.6709899865682345
33,82550,711.435302734375,0.1604312435973572,0,-0.8925587871624325,0.8925587871624325
34,80960,551.50341796875,0.19714121745026011,1,0.7162937746099847,-0.7162937746099847
35,82672,725.5563354492188,0.150482843318678,0,-0.8874699811376363,0.8874699811376363
36,81594,605.88427734375,0.18510810945021386,1,-0.8934482675157878,0.8934482675157878
37,78026,399.1444091796875,0.15001902176347162,0,-0.7317353486866006,0.7317353486866006
38,76981,368.959716796875,0.183889229459648,1,-0.6780632722691335,0.6780632722691335
39,81763,617.9797973632812,0.1410633563652704,0,-0.634479183208095,0.634479183208095
40,81501,598.9364013671875,0.18230199168234312,1,-0.70689801454308,0.70689801454308
41,81540,602.0059814453125,0.127886719626258,0,-0.37012668859880055,0.3701266885988005
