rank,bin_index,mz,score,pcc_class_1,pcc_class_2
1,82727,731.5413208007812,1.0722850561141968,-0.3834766518966153,0.3834766518966153
2,82488,706.8308715820312,1.0661358833312988,-0.29763361374399516,0.29763361374399516
3,82481,706.2344360351562,1.0626442432403564,-0.24862085087121524,0.24862085087121524
4,82482,706.23681640625,1.0563464164733887,-0.24688936312837342,0.24688936312837342
5,82490,706.84375,1.0397706031799316,-0.3208982793816594,0.3208982793816594
6,80541,522.9317016601562,1.0341575145721436,-0.28715640901300693,0.28715640901300693
7,82479,706.2203979492188,1.0324342250823975,-0.2681740219427961,0.2681740219427961
8,82491,706.8484497070312,1.0242807865142822,-0.3015300464893009,0.3015300464893009
9,80243,500.26397705078125,1.017253041267395,0.01120491524064889,-0.01120491524064889
10,78641,414.98150634765625,1.0169423818588257,-0.3498512473079794,0.3498512473079794
11,81943,636.799072265625,1.0134210586547852,-0.3518404268043298,0.3518404268043298
12,82484,706.2976684570312,0.9880162477493286,-0.1943416027474985,0.1943416027474985
13,81054,559.9037475585938,0.981644868850708,-0.508359548576875,0.508359548576875
14,81499,598.8429565429688,0.9798635840415955,-0.6688730683163598,0.6688730683163598
15,82695,727.5636596679688,0.9792890548706055,-0.3077853262260614,0.3077853262260614
16,81158,566.8956909179688,0.9777543544769287,-0.29265163867990435,0.29265163867990435
17,82192,666.0,0.9757431745529175,-0.30633457984981793,0.30633457984981793
18,82339,686.5669555664062,0.9755524396896362,-0.49460079186325845,0.49460079186325845
19,81144,565.9114990234375,0.9736081957817078,-0.22337670439687782,0.22337670439687782
20,80828,543.9175415039062,0.9658600091934204,-0.3488337437936548,0.3488337437936548
21,81958,638.451904296875,0.9651825428009033,-0.052258871242899164,0.052258871242899164
22,82269,679.5094604492188,0.9641293287277222,-0.35194806249432065,0.35194806249432065
23,81065,560.8870239257812,0.9626466035842896,-0.7802207601752338,0.7802207601752338
24,81843,624.8720092773438,0.9607052206993103,-0.0896767943187739,0.0896767943187739
25,81877,628.881591796875,0.9599135518074036,-0.26847296968215045,0.26847296968215045
26,80848,544.9130859375,0.9579670429229736,-0.6168180131161501,0.6168180131161501
27,81806,620.825439453125,0.9546242356300354,-0.519148436195926,0.519148436195926
28,77263,377.02587890625,0.9527759552001953,-0.3495537603934541,0.3495537603934541
29,82499,707.8431396484375,0.9515039324760437,-0.2059380930933864,0.2059380930933864
30,82628,719.9299926757812,0.9501161575317383,-0.5356009321752307,0.5356009321752307
31,82345,687.9705200195312,0.9438877701759338,-0.30298678391536676,0.30298678391536676
32,81199,569.9390258789062,0.943125307559967,-0.5181075220192116,0.5181075220192116
33,82458,703.8740234375,0.9424260258674622,-0.09754895288217817,0.09754895288217817
34,81320,581.8727416992188,0.9382371306419373,-0.30593186565873787,0.30593186565873787
35,80291,503.5014953613281,0.9378010034561157,-0.7092426714960035,0.7092426714960035
36,81321,581.885498046875,0.936712920665741,-0.5021033917297536,0.5021033917297536
37,79550,456.8948974609375,0.9361239075660706,-0.35573933089279247,0.35573933089279247
38,82639,721.9563598632812,0.9357295632362366,-0.8177675637975801,0.8177675637975801
39,82093,654.4255981445312,0.9347569346427917,-0.5740312111051359,0.5740312111051359
40,80499,519.8802490234375,0.932750940322876,-0.4571917926009216,0.4571917926009216
