rank,bin_index,mz,score,source_component,pcc_class_1,pcc_class_2
1,81717,616.1770629882812,1.0,0,-0.5248294455562708,0.5248294455562709
2,81741,617.1803588867188,0.4204163561799555,1,-0.5111221388520459,0.511122138852046
3,82576,713.4511108398438,0.48553711887926415,0,0.7400948331231524,-0.7400948331231525
4,79415,449.0477600097656,0.4099171305468126,1,-0.6179131552852114,0.6179131552852115
5,82758,734.5697631835938,0.2899536149852786,1,0.711632029840975,-0.7116320298409752
6,82063,651.5342407226562,0.23841974898259471,0,0.7397154844507319,-0.739715484450732
7,81018,557.1637573242188,0.23466685625855213,1,-0.5203914244539605,0.5203914244539605
8,80960,551.50341796875,0.22164439477200482,0,0.6785989187476664,-0.6785989187476663
9,81268,577.518798828125,0.23267904133703077,1,0.6009940257818416,-0.6009940257818416
10,79889,478.3293762207031,0.2187215637170729,0,0.6280260529289174,-0.6280260529289176
11,81763,617.9797973632812,0.17550613833727916,1,0.36933020856086496,-0.369330208560865
12,82589,714.4548950195312,0.20357760283157833,0,0.7473838259209445,-0.7473838259209447
13,82539,710.488525390625,0.20279490668874756,1,0.6739868083235718,-0.6739868083235719
14,79668,465.0216979980469,0.12857178462761792,0,-0.5221559706551716,0.5221559706551716
15,82672,725.5563354492188,0.1469030125510628,1,-0.7002216621529015,0.7002216621529016
16,78453,409.0555419921875,0.11052788007969609,0,-0.25913344069914396,0.259133440699144
17,78026,399.1444091796875,0.13696740029526736,1,-0.5211072414110623,0.5211072414110625
18,81766,618.1878662109375,0.11036370832514616,0,-0.48968700935125287,0.48968700935125287
19,81301,580.0238037109375,0.13635772638931054,1,0.38685152587904204,-0.386851525879042
20,82079,652.5381469726562,0.10751738685991556,0,0.7410344781508665,-0.7410344781508666
21,80180,496.33990478515625,0.1317147751076254,1,0.316317545577986,-0.3163175455779861
22,82420,697.4774780273438,0.0873804494661968,0,0.6019939087777652,-0.6019939087777653
23,82455,703.5741577148438,0.10782509758582333,1,-0.6769263333136928,0.6769263333136929
24,81296,579.53466796875,0.09174694823061573,0,0.7249405725341926,-0.7249405725341926
25,80569,524.370849609375,0.107680253785138,1,-0.1283103461048444,0.12831034610484443
26,80978,552.5068969726562,0.07840032070630919,0,0.6761033760543317,-0.6761033760543318
27,81869,627.5347290039062,0.10536097805013946,1,0.633214827562857,-0.6332148275628571
28,81284,578.5226440429688,0.09816219865789744,0,0.6015568812406326,-0.6015568812406326
29,79394,448.34222412109375,0.10241516663086819,1,0.20571557852621558,-0.20571557852621564
30,82551,711.4911499023438,0.0665971855967956,0,0.6760891569437907,-0.6760891569437908
31,82300,682.45703125,0.1023784869507585,1,-0.6694348047850857,0.6694348047850858
32,81540,602.0059814453125,0.09751832621563797,1,0.1708698099668008,-0.17086980996680082
33,80053,487.9745178222656,0.06404231865638627,0,-0.35123247874064434,0.35123247874064434
34,82728,731.6066284179688,0.09682982443351425,1,0.6307097966644801,-0.6307097966644801
35,78836,423.98193359375,0.08496888833157941,0,0.3338235087411838,-0.3338235087411838
36,82098,655.1400756835938,0.09641089236380683,1,-0.4478157232626268,0.44781572326262686
37,79421,449.2068176269531,0.058569147849896086,0,-0.026196152169140414,0.026196152169140407
38,79665,464.9471130371094,0.09486081495711983,1,-0.5969998057977056,0.5969998057977057
39,81673,614.1810913085938,0.057384906680646074,0,-0.5140191337899551,0.5140191337899552
40,79440,450.0509948730469,0.0881203097007448,1,-0.6022928531473392,0.6022928531473394
41,81118,564.2484130859375,0.08766802280862379,0,0.7683035940316644,-0.7683035940316646
42,81425,589.9224853515625,0.08743070171596656,1,-0.5015834654976602,0.5015834654976602
43,80403,509.95611572265625,0.07295885236111894,0,-0.458817590577704,0.45881759057770405
44,82380,694.5144653320312,0.08578633459487935,1,0.5397878107309575,-0.5397878107309574
45,82601,715.4579467773438,0.05061264848059606,0,0.7526491204992178,-0.752649120499218
46,77858,394.1260070800781,0.08542521255090282,1,-0.6488359029328211,0.6488359029328211
47,79906,479.33251953125,0.06263845032432612,0,0.6265838667365297,-0.6265838667365297
48,81029,558.1666870117188,0.08118281912534143,1,-0.5206484764053574,0.5206484764053575
49,80839,544.1551513671875,0.05366839674261942,0,-0.5139043050190011,0.5139043050190011
50,61508,141.1545867919922,0.07819575947149462,1,0.010601992978861071,-0.010601992978861063
