rank,bin_index,mz,score,pcc_class_1,pcc_class_2
1,80893,547.0155029296875,1.3733521699905396,-0.5646477529763095,0.5646477529763095
2,80682,531.0415649414062,1.3418316841125488,-0.5350448620816839,0.5350448620816839
3,82727,731.5413208007812,1.3027794361114502,-0.34317848866725487,0.34317848866725487
4,80391,509.059814453125,1.2939962148666382,-0.7486361935662457,0.7486361935662457
5,81366,584.9180297851562,1.2617616653442383,-0.3046305639813436,0.3046305639813436
6,82150,660.50390625,1.221680760383606,0.006380847838049587,-0.006380847838049587
7,80127,493.0856628417969,1.2183449268341064,-0.5324895648059472,0.5324895648059471
8,82442,701.9269409179688,1.2108643054962158,-0.3506521141945477,0.3506521141945477
9,82479,706.2203979492188,1.2014585733413696,-0.20169085038244006,0.20169085038244006
10,82339,686.5669555664062,1.19072425365448,-0.5791226777477094,0.5791226777477094
11,82318,683.999755859375,1.1855762004852295,-0.8322834660054621,0.8322834660054621
12,82113,656.9169311523438,1.1852024793624878,-0.33348044285153755,0.33348044285153755
13,76626,342.7150573730469,1.1810753345489502,-0.8280766402912375,0.8280766402912375
14,82621,717.9125366210938,1.177452802658081,-0.5581891901800785,0.5581891901800785
15,82639,721.9563598632812,1.1764973402023315,-0.6913099286319191,0.691309928631919
16,81617,607.882080078125,1.1674835681915283,-0.6099766722495645,0.6099766722495645
17,82248,675.5433349609375,1.1671481132507324,-0.6815621343428095,0.6815621343428095
18,80924,549.0315551757812,1.1671245098114014,-0.415296495538795,0.415296495538795
19,77968,397.9885559082031,1.1607091426849365,-0.8484640405793739,0.8484640405793739
20,80951,551.0818481445312,1.1583733558654785,-0.5111118412641447,0.5111118412641447
21,82451,703.204833984375,1.1502965688705444,-0.05522063524311662,0.055220635243116614
22,82093,654.4255981445312,1.1480003595352173,-0.6672704728190995,0.6672704728190995
23,82259,677.9200439453125,1.144717812538147,-0.726650114015533,0.726650114015533
24,80347,505.9638671875,1.1419070959091187,-0.7065845551948662,0.7065845551948662
25,82501,708.5447998046875,1.1410737037658691,-0.821822275517051,0.821822275517051
26,79940,481.92425537109375,1.1403427124023438,-0.7858146150175525,0.7858146150175525
27,80511,520.8749389648438,1.1387863159179688,-0.7187257900577105,0.7187257900577105
28,82262,678.5062866210938,1.1357362270355225,-0.6867824074406649,0.6867824074406649
29,82003,643.8405151367188,1.1334432363510132,-0.3404851912617586,0.3404851912617586
30,78270,405.0953063964844,1.129542589187622,-0.7975237545416639,0.7975237545416639
31,82159,661.8244018554688,1.129470705986023,-0.24056013515481697,0.24056013515481697
32,80296,503.9565124511719,1.128370761871338,-0.7511233025200269,0.7511233025200269
33,82269,679.5094604492188,1.1280581951141357,-0.2888389606377058,0.2888389606377058
34,80775,540.858642578125,1.126092553138733,-0.6551292015431777,0.6551292015431777
35,81606,606.8862915039062,1.1252238750457764,-0.474982741186852,0.474982741186852
36,81035,558.4644775390625,1.1228413581848145,-0.8010895799392866,0.8010895799392866
37,79960,482.91900634765625,1.1147146224975586,-0.8668893772011801,0.8668893772011801
38,81270,577.5744018554688,1.1145495176315308,0.006380847838049529,-0.006380847838049532
39,81297,579.8604125976562,1.1132850646972656,-0.7244621358788145,0.7244621358788145
40,81618,607.8950805664062,1.109366774559021,-0.26653316000160193,0.26653316000160193
41,82139,659.8267211914062,1.107972264289856,-0.6629411540714001,0.6629411540714001
42,82477,705.5900268554688,1.1078097820281982,-0.8131870969576594,0.8131870969576594
43,79987,484.0646667480469,1.1063106060028076,-0.506241788084577,0.506241788084577
44,81012,556.8323974609375,1.1036301851272583,-0.522117967951616,0.522117967951616
45,81828,622.8740234375,1.1021126508712769,-0.2212246251679662,0.2212246251679662
46,82341,687.091796875,1.1007076501846313,-0.32485365944200095,0.32485365944200095
47,79505,453.3766784667969,1.1002031564712524,-0.37487717197476633,0.37487717197476633
48,81183,568.9298095703125,1.0972402095794678,-0.4974927506746254,0.4974927506746254
49,82618,717.4652099609375,1.093820333480835,-0.2367094501213175,0.2367094501213175
50,80636,528.0670776367188,1.0921293497085571,-0.6373899167385971,0.6373899167385971
